source,title,summary,texto,cluster
RPP,¡Talento peruano que no deja de crecer! Jaze hace sold out en España y sigue llevando la música peruana al mundo,"Con su paso por premiaciones internacionales, colaboraciones con artistas de renombre y una gira que agota entradas, Jaze confirma el poder de la música peruana en el mundo.","¡Talento peruano que no deja de crecer! Jaze hace sold out en España y sigue llevando la música peruana al mundo Con su paso por premiaciones internacionales, colaboraciones con artistas de renombre y una gira que agota entradas, Jaze confirma el poder de la música peruana en el mundo.",0
RPP,"Partidos de hoy, viernes 26 de septiembre del 2025: horarios y canales TV para ver EN VIVO Liga 1 y LaLiga","Fútbol EN VIVO | Horarios y canales de TV para ver EN DIRECTO los partidos de hoy, viernes 26 de septiembre del 2025.","Partidos de hoy, viernes 26 de septiembre del 2025: horarios y canales TV para ver EN VIVO Liga 1 y LaLiga Fútbol EN VIVO | Horarios y canales de TV para ver EN DIRECTO los partidos de hoy, viernes 26 de septiembre del 2025.",2
RPP,"Murió a los 21 años Billy Vigar, exjugador del Arsenal, tras sufrir una grave lesión cerebral","El joven deportista fue sometido a un coma inducido, tras chocar con un muro en un partido. Su familia y el Arsenal confirmaron la lamentable noticia.","Murió a los 21 años Billy Vigar, exjugador del Arsenal, tras sufrir una grave lesión cerebral El joven deportista fue sometido a un coma inducido, tras chocar con un muro en un partido. Su familia y el Arsenal confirmaron la lamentable noticia.",0
RPP,EN VIVO: Sigue el minuto a minuto de la 80° Asamblea General de la ONU: Benjamín Netanyahu insistió que Israel no reconocerá un Estado palestino,"Este viernes continúa la 80°&nbsp;Asamblea General de la ONU,&nbsp;Benjamín Netanyahu, insistió en que Israel no reconocerá un Estado palestino. ""Es una locura y no lo haremos"", dijo y recalcó que no cometerá un ""suicidio nacional"" haciéndolo.","EN VIVO: Sigue el minuto a minuto de la 80° Asamblea General de la ONU: Benjamín Netanyahu insistió que Israel no reconocerá un Estado palestino Este viernes continúa la 80°&nbsp;Asamblea General de la ONU,&nbsp;Benjamín Netanyahu, insistió en que Israel no reconocerá un Estado palestino. ""Es una locura y no lo haremos"", dijo y recalcó que no cometerá un ""suicidio nacional"" haciéndolo.",0
RPP,Ignacio Buse vs Marco Trungelliti EN VIVO: ¿a qué hora juegan y dónde ver los cuartos de final del Challenger de Lisboa?,Ignacio Buse vs Marco Trungelliti EN VIVO: sigue AQUÍ el partido por los cuartos de final del Challenger de Lisboa.,Ignacio Buse vs Marco Trungelliti EN VIVO: ¿a qué hora juegan y dónde ver los cuartos de final del Challenger de Lisboa? Ignacio Buse vs Marco Trungelliti EN VIVO: sigue AQUÍ el partido por los cuartos de final del Challenger de Lisboa.,2
RPP,Gonzalo Bueno vs Nicolás Kicker EN VIVO: ¿a qué hora juegan y dónde ver los cuartos de final del Challenger de Buenos Aires?,Gonzalo Bueno vs Nicolás Kicker EN VIVO: sigue la transmisión del partido por los cuartos de final del Challenger de Buenos Aires.,Gonzalo Bueno vs Nicolás Kicker EN VIVO: ¿a qué hora juegan y dónde ver los cuartos de final del Challenger de Buenos Aires? Gonzalo Bueno vs Nicolás Kicker EN VIVO: sigue la transmisión del partido por los cuartos de final del Challenger de Buenos Aires.,2
RPP,Alianza Universidad vs Sport Boys EN VIVO: ¿a qué hora juegan y dónde ver la fecha 11 del Torneo Clausura 2025?,Alianza Universidad vs Sport Boys EN VIVO: sigue la transmisión del encuentro por la fecha 11 del Torneo Clausura de la Liga1 Te Apuesto 2025.,Alianza Universidad vs Sport Boys EN VIVO: ¿a qué hora juegan y dónde ver la fecha 11 del Torneo Clausura 2025? Alianza Universidad vs Sport Boys EN VIVO: sigue la transmisión del encuentro por la fecha 11 del Torneo Clausura de la Liga1 Te Apuesto 2025.,4
RPP,Tabla del Torneo Clausura EN VIVO: así están las posiciones en la fecha 11 de la Liga1 Te Apuesto 2025,Sigue el movimiento de las posiciones en el Torneo Clausura y cómo va la Tabla Acumulada de la Liga1 Te Apuesto 2025.,Tabla del Torneo Clausura EN VIVO: así están las posiciones en la fecha 11 de la Liga1 Te Apuesto 2025 Sigue el movimiento de las posiciones en el Torneo Clausura y cómo va la Tabla Acumulada de la Liga1 Te Apuesto 2025.,4
RPP,Sean 'Diddy' Combs pide anulación de los veredictos de culpabilidad o un nuevo juicio,"El juez a cargo del caso indicó que daría a conocer ""muy pronto"" su decisión o de lo contrario ""veremos a todos de regreso aquí el próximo viernes"", al referirse al 3 de octubre, día que se fijó para la condena del artista.","Sean 'Diddy' Combs pide anulación de los veredictos de culpabilidad o un nuevo juicio El juez a cargo del caso indicó que daría a conocer ""muy pronto"" su decisión o de lo contrario ""veremos a todos de regreso aquí el próximo viernes"", al referirse al 3 de octubre, día que se fijó para la condena del artista.",0
RPP,"A modo de protesta, numerosas delegaciones abandonaron la Asamblea de la ONU cuando intervino Benjamín Netanyahu [FOTOS]","El primer ministro de Israel remarcó ante la Asamblea de la ONU que Israel no reconocerá un Estado palestino. ""Es una locura y no lo haremos"", sostuvo durante su alocución.","A modo de protesta, numerosas delegaciones abandonaron la Asamblea de la ONU cuando intervino Benjamín Netanyahu [FOTOS] El primer ministro de Israel remarcó ante la Asamblea de la ONU que Israel no reconocerá un Estado palestino. ""Es una locura y no lo haremos"", sostuvo durante su alocución.",0
RPP,Un sismo de magnitud 4.3 remeció la región Ayacucho esta mañana,"El epicentro del sismo se ubicó a 26 kilómetros al suroeste de Pampamarca, en la provincia de Parinacochas, reportó el Instituto Geofísico del Perú.","Un sismo de magnitud 4.3 remeció la región Ayacucho esta mañana El epicentro del sismo se ubicó a 26 kilómetros al suroeste de Pampamarca, en la provincia de Parinacochas, reportó el Instituto Geofísico del Perú.",4
RPP,Premier League: Tottenham se enfrentará ante Wolverhampton por la fecha 6,Wolverhampton se mide ante Tottenham en el Wembley Stadium mañana a las 14:00 horas. El partido será supervisado por Michael Salisbury.,Premier League: Tottenham se enfrentará ante Wolverhampton por la fecha 6 Wolverhampton se mide ante Tottenham en el Wembley Stadium mañana a las 14:00 horas. El partido será supervisado por Michael Salisbury.,3
RPP,Cúal fue el último temblor en México hoy 26 de septiembre según SSN,Cuál es el ultimo temblor en México y CDMX registrado segun el Servicio Sismológico Nacional (SSN) hoy 26 de septiembre del 2025. Consulta los últimos sismos EN VIVO para México aquí.,Cúal fue el último temblor en México hoy 26 de septiembre según SSN Cuál es el ultimo temblor en México y CDMX registrado segun el Servicio Sismológico Nacional (SSN) hoy 26 de septiembre del 2025. Consulta los últimos sismos EN VIVO para México aquí.,2
RPP,Puente Piedra: hija busca a madre con trastornos mentales que desapareció hace 10 días,"Rotafono de RPP | Algunos testigos han señalado que han visto a Milagros Verut Rosales Loarte por el paradero Aviación, luego en Megaplaza y que dos días seguidos estuvo en la plaza del distrito limeño de Puente Piedra.","Puente Piedra: hija busca a madre con trastornos mentales que desapareció hace 10 días Rotafono de RPP | Algunos testigos han señalado que han visto a Milagros Verut Rosales Loarte por el paradero Aviación, luego en Megaplaza y que dos días seguidos estuvo en la plaza del distrito limeño de Puente Piedra.",0
RPP,Corte de agua en Lima hoy 26 de septiembre: Distritos y horarios afectados,EN VIVO Consulta aquí los distritos de Lima y horarios afectados por el corte de agua programado por el Servicio de Agua Potable y Alcantarillado de Lima (Sedapal) para hoy.,Corte de agua en Lima hoy 26 de septiembre: Distritos y horarios afectados EN VIVO Consulta aquí los distritos de Lima y horarios afectados por el corte de agua programado por el Servicio de Agua Potable y Alcantarillado de Lima (Sedapal) para hoy.,2
RPP,"Temblor en Perú, hoy 26 de septiembre: magnitud y epicentro del sismo según IGP","Actualización EN VIVO del último sismo en Perú hoy, viernes 26 de septiembre según las últimas actualizaciones del Instituto Geofísico del Perú IGP","Temblor en Perú, hoy 26 de septiembre: magnitud y epicentro del sismo según IGP Actualización EN VIVO del último sismo en Perú hoy, viernes 26 de septiembre según las últimas actualizaciones del Instituto Geofísico del Perú IGP",2
RPP,Argentina: dólar blue hoy a cuánto cotiza este viernes 26 de septiembre,"La cotización del dólar blue, hoy viernes 26 de septiembre en el país de Argentina es de $1390 compra y $1410 la venta.","Argentina: dólar blue hoy a cuánto cotiza este viernes 26 de septiembre La cotización del dólar blue, hoy viernes 26 de septiembre en el país de Argentina es de $1390 compra y $1410 la venta.",2
RPP,ADT vs. Alianza Atlético: ¿a qué hora y dónde ver hoy el partido por el Torneo Clausura 2025?,"ADT, luego de ganarle a Cusco, está motivado y ahora recibe a Alianza Atlético en Tarma.","ADT vs. Alianza Atlético: ¿a qué hora y dónde ver hoy el partido por el Torneo Clausura 2025? ADT, luego de ganarle a Cusco, está motivado y ahora recibe a Alianza Atlético en Tarma.",4
RPP,"""Fue un gran rival"": técnico de la U. de Chile felicitó a Alianza Lima tras duelo por la Copa Sudamericana","Gustavo Álvarez, DT de la U. de Chile, destacó la campaña internacional 2025 de Alianza, pese a la eliminación íntima en la Sudamericana.","""Fue un gran rival"": técnico de la U. de Chile felicitó a Alianza Lima tras duelo por la Copa Sudamericana Gustavo Álvarez, DT de la U. de Chile, destacó la campaña internacional 2025 de Alianza, pese a la eliminación íntima en la Sudamericana.",4
